Higher Topic,Focus Area Code,Focus Area name,Content
TA1 Launch Propulsion Systems,TA1.3,Air Breathing Propulsion Systems,
TA2 In-Space Propulsion Technologies,TA2.1,Chemical Propulsion,
TA2 In-Space Propulsion Technologies,TA2.2,Non-Chemical Propulsion,
TA2 In-Space Propulsion Technologies,TA2.4,Supporting Technologies,
TA3 Space Power and Energy Storage,TA3.1,Power Generation,
TA3 Space Power and Energy Storage,TA3.2,Energy Storage,
TA3 Space Power and Energy Storage,TA3.3,Power Management and Distribution,
TA3 Space Power and Energy Storage,TA3.4,Cross Cutting Technology,
"TA4 Robotics, Telerobotics and Autonomous Systems",TA4.3,Manipulation,
"TA4 Robotics, Telerobotics and Autonomous Systems",TA4.5,Autonomy,
TA5 Communication and Navigation,TA5.1,Optical Comm. And Navigation,
TA5 Communication and Navigation,TA5.2,Radio Frequency Communications,
TA5 Communication and Navigation,TA5.4,"Position, Navigation, and Timing",
"TA6 Human Health, Life Support and Habitation Systems",TA6.1,Environmental Control Life Support & Habitation Systems,
"TA6 Human Health, Life Support and Habitation Systems",TA6.2,Extravehicular Activity Systems,
"TA6 Human Health, Life Support and Habitation Systems",TA6.3,Human Health and Performance,
"TA6 Human Health, Life Support and Habitation Systems",TA6.5,Radiation,
TA7 Human Exploration Destination Systems,TA7.1,In-Situ Resource Utilization,
TA7 Human Exploration Destination Systems,TA7.4,Advanced Habitat Systems,
"TA8 Science Instruments, Observatories & Sensor Systems",TA8.1,Science Instruments,
"TA8 Science Instruments, Observatories & Sensor Systems",TA8.3,Sensor Systems,
"TA9 Entry, Descent and Landing Systems",TA9.1,Aeroassist & Entry,
"TA9 Entry, Descent and Landing Systems",TA9.4,Vehicle Systems Technology,
"TA11 Modeling, Simulation, Information Technology and Processing",TA11.1,Computing,
"TA11 Modeling, Simulation, Information Technology and Processing",TA11.2,Modeling,
"TA11 Modeling, Simulation, Information Technology and Processing",TA11.4,Information Processing,
"TA12 Materials, Structures, Mechanical Systems and Manufacturing",TA12.1,Materials,
"TA12 Materials, Structures, Mechanical Systems and Manufacturing",TA12.2,Structures,
"TA12 Materials, Structures, Mechanical Systems and Manufacturing",TA12.3,Mechanical Systems,
"TA12 Materials, Structures, Mechanical Systems and Manufacturing",TA12.4,Manufacturing,
"TA12 Materials, Structures, Mechanical Systems and Manufacturing",TA12.5,Cross-Cutting,
TA14 Thermal Management Systems,TA14.2,Thermal Control Systems,
TA15 Aeronautics,TA15.1,Additional Subtopics,
